cluster_10_nome_marco,annotazioni_parsate,count
IngannanoAltri,ingannano italiani,43
IngannanoAltri,sono bugiardi,3
IngannanoAltri,sono falsi,4
IngannanoAltri,sono furbi,3
IngannanoAltri,sono truffatori,68
MaltrattanoDeboli,considerano donne,2
MaltrattanoDeboli,costrette velo,3
MaltrattanoDeboli,disprezzano donne,3
MaltrattanoDeboli,maltrattano bambini,10
MaltrattanoDeboli,maltrattano deboli,32
MaltrattanoDeboli,maltrattano donne,4
MaltrattanoDeboli,maltrattano italiani,2
MaltrattanoDeboli,maltrattano minori,2
MaltrattanoDeboli,non rispettano donne,2
MaltrattanoDeboli,prostituiscono,2
MaltrattanoDeboli,religione a pedofilia,4
MaltrattanoDeboli,sfruttano deboli,2
MaltrattanoDeboli,sfruttano donne,2
MaltrattanoDeboli,sono mafiosi,4
MaltrattanoDeboli,sono misogini,7
MaltrattanoDeboli,sono padroni,5
MaltrattanoDeboli,sono pedofili,10
MaltrattanoDeboli,sono prepotenti,5
MaltrattanoDeboli,sono sottomesse,2
MaltrattanoDeboli,sono stupratori,33
MaltrattanoDeboli,sono succubi,2
MaltrattanoDeboli,sottomette donna,2
MaltrattanoDeboli,stuprano,33
MaltrattanoDeboli,stuprano donne,2
MaltrattanoDeboli,trattano donne,3
PortanoDegrado,danneggiano ambiente,3
PortanoDegrado,deturpano città,4
PortanoDegrado,frugano in cassonetti,3
PortanoDegrado,inquinano,12
PortanoDegrado,non hanno casa,5
PortanoDegrado,non hanno cura,5
PortanoDegrado,portano degrado,13
PortanoDegrado,portano malattie,39
PortanoDegrado,rovinano ambiente,5
PortanoDegrado,rovistano in spazzatura,3
PortanoDegrado,sono portatori,2
PortanoDegrado,sono sporchi,31
PortanoDegrado,sono vandali,4
PortanoDegrado,vivono in degrado,2
SonoDelinquenti,non rispettano legge,2
SonoDelinquenti,non rispettano leggi,6
SonoDelinquenti,non rispettano regole,5
SonoDelinquenti,sono criminali,168
SonoDelinquenti,sono delinquenti,91
SonoDelinquenti,sono ladri,202
SonoDelinquenti,sono spacciatori,9
SonoDelinquenti,spacciano,29
SonoDelinquenti,è colpa,2
SonoEstremistiReligiosi,conquistare europa,2
SonoEstremistiReligiosi,conquistare occidente,2
SonoEstremistiReligiosi,convertire italia,2
SonoEstremistiReligiosi,convertire stati,5
SonoEstremistiReligiosi,imporre dittatura,2
SonoEstremistiReligiosi,incita,2
SonoEstremistiReligiosi,limita libertà,8
SonoEstremistiReligiosi,minacciano cultura,5
SonoEstremistiReligiosi,non cittadini,2
SonoEstremistiReligiosi,non democratici,2
SonoEstremistiReligiosi,non integrar,9
SonoEstremistiReligiosi,non integrare,5
SonoEstremistiReligiosi,non italiani,6
SonoEstremistiReligiosi,non rispettano autorità,8
SonoEstremistiReligiosi,non rispettano famiglia,2
SonoEstremistiReligiosi,non vogliono democrazia,2
