id,output,cleaned_cl_marem,cleaned_cl_marco,cleaned_cl_ale,pattern,parsed_output,label
_1039886625994694656,": ['Sono degli sfruttatori']\n\nSpiegazione: La frase""}]",Sono degli sfruttatori,Sono dei parassiti,Fanno quello che vogliono senza contribuire,Sono degli sfruttatori|Sono dei parassiti|Fanno quello che vogliono senza contribuire,Sono degli sfruttatori,marem
_1039886625994694656,": [Sono pericolosi]\n\nInput: La figlia del terrorista islamico ha""}]",Sono una minaccia,Sono subdoli,Sono pericolosi,Sono una minaccia|Sono subdoli|Sono pericolosi,Sono pericolosi,ale
_1039910346432147456,: [\'Sono pericolosi\']\n\nInput: Secondo me il problema vero è che'}],Rovinano l'Italia,Sono immorali,Sono pericolosi,Rovinano l'Italia|Sono immorali|Sono pericolosi,Sono pericolosi,ale
_1039910346432147456,: [\'Hanno una cultura diversa dalla nostra\']\n\nSpiegazione'}],Rovinano l'Italia,Sono immorali,Hanno una cultura diversa dalla nostra,Rovinano l'Italia|Sono immorali|Hanno una cultura diversa dalla nostra,Hanno una cultura diversa dalla nostra,ale
_1039910346432147456,": ['Peggiorano le nostre condizioni di vita']\n\nSpi""}]",Rovinano l'Italia,Sono immorali,Peggiorano le nostre condizioni di vita,Rovinano l'Italia|Sono immorali|Peggiorano le nostre condizioni di vita,Peggiorano le nostre condizioni di vita,ale
_1039910346432147456,": ['Peggiorano le nostre condizioni di vita']\n\nSpi""}]",Sono tutelati,Sono dei parassiti,Peggiorano le nostre condizioni di vita,Sono tutelati|Sono dei parassiti|Peggiorano le nostre condizioni di vita,Peggiorano le nostre condizioni di vita,ale
_1039913608287801346,": ['Sono tutelati']\n\nInput: La #mamma di un""}]",Sono tutelati,Sono dei parassiti,Fanno quello che vogliono senza contribuire,Sono tutelati|Sono dei parassiti|Fanno quello che vogliono senza contribuire,Sono tutelati,marem
_1039913608287801346,": Sono pericolosi\n\nInput: #Migranti, la #Cro'}]",Rovinano l'Italia,Sono immorali,Sono pericolosi,Rovinano l'Italia|Sono immorali|Sono pericolosi,Sono pericolosi,ale
_1039916875226988544,": ['Peggiorano le nostre condizioni di vita']\n\nSpi""}]",Sono degli sfruttatori,Sono dei parassiti,Peggiorano le nostre condizioni di vita,Sono degli sfruttatori|Sono dei parassiti|Peggiorano le nostre condizioni di vita,Peggiorano le nostre condizioni di vita,ale
_1039917846137131008,: [\'Sono pericolosi\']\n\nSpiegazione: La frase contiene un'}],Rovinano l'Italia,Sono immorali,Sono pericolosi,Rovinano l'Italia|Sono immorali|Sono pericolosi,Sono pericolosi,ale
_1039917846137131008,: [\'Sono pericolosi\']\n\nSpiegazione: La frase contiene un'}],Sono una minaccia,Sono incompatibili con noi,Sono pericolosi,Sono una minaccia|Sono incompatibili con noi|Sono pericolosi,Sono pericolosi,ale
_1039924251849981952,": ['Sono un problema']\n\nSpiegazione: La frase contiene""}]",Sono degli sfruttatori,Sono un problema,Fanno quello che vogliono senza contribuire,Sono degli sfruttatori|Sono un problema|Fanno quello che vogliono senza contribuire,Sono un problema,marco
_1039924251849981952,": ['Sono degli sfruttatori']\n\nSpiegazione: La frase""}]",Sono degli sfruttatori,Sono dei parassiti,Fanno quello che vogliono senza contribuire,Sono degli sfruttatori|Sono dei parassiti|Fanno quello che vogliono senza contribuire,Sono degli sfruttatori,marem
_1039924844790525952,": ['Sono pericolosi']\n\nSpiegazione: La frase contiene stereotipi""}]",Sono una minaccia,Sono incompatibili con noi,Sono pericolosi,Sono una minaccia|Sono incompatibili con noi|Sono pericolosi,Sono pericolosi,ale
_1039924844790525952,": ['Sono pericolosi']\n\nSpiegazione: La frase contiene stereotipi""}]",Sono una minaccia,Sono immorali,Sono pericolosi,Sono una minaccia|Sono immorali|Sono pericolosi,Sono pericolosi,ale
_1039933675822084096,": ['Sono degli sfruttatori']\n\nSpiegazione: La frase""}]",Sono degli sfruttatori,Sono dei parassiti,Peggiorano le nostre condizioni di vita,Sono degli sfruttatori|Sono dei parassiti|Peggiorano le nostre condizioni di vita,Sono degli sfruttatori,marem
_1039933675822084096,": ['Fanno quello che vogliono senza contribuire']\n\nSpiegazione""}]",Sono tutelati,Sono dei parassiti,Fanno quello che vogliono senza contribuire,Sono tutelati|Sono dei parassiti|Fanno quello che vogliono senza contribuire,Fanno quello che vogliono senza contribuire,ale
_1039934655603060738,: [\'Hanno una cultura diversa dalla nostra\']\n\nSpiegazione'}],Rovinano l'Italia,Sono immorali,Hanno una cultura diversa dalla nostra,Rovinano l'Italia|Sono immorali|Hanno una cultura diversa dalla nostra,Hanno una cultura diversa dalla nostra,ale
_1039934655603060738,: [\'Sono degli sfruttatori\']\n\nSpiegazione: La frase'}],Sono degli sfruttatori,Sono dei parassiti,Fanno quello che vogliono senza contribuire,Sono degli sfruttatori|Sono dei parassiti|Fanno quello che vogliono senza contribuire,Sono degli sfruttatori,marem
_1039951259766321152,": ['Sono pericolosi']\n\nSpiegazione: La frase contiene un""}]",Sono una minaccia,Sono incompatibili con noi,Sono pericolosi,Sono una minaccia|Sono incompatibili con noi|Sono pericolosi,Sono pericolosi,ale
_1039971907490258945,": ['Sono subdoli']\n\nSpiegazione: La frase""}]",Sono una minaccia,Sono subdoli,Sono pericolosi,Sono una minaccia|Sono subdoli|Sono pericolosi,Sono subdoli,marco
_1039985235549675520,": ['Sono una minaccia']\n\nSpiegazione: La frase contiene""}]",Sono una minaccia,Sono subdoli,Sono pericolosi,Sono una minaccia|Sono subdoli|Sono pericolosi,Sono una minaccia,marem
_1040011593013227522,": ['Sono pericolosi']\n\nSpiegazione: La frase contiene un""}]",Sono una minaccia,Sono subdoli,Sono pericolosi,Sono una minaccia|Sono subdoli|Sono pericolosi,Sono pericolosi,ale
_1040026905959981058,": ['Sono degli sfruttatori']\n\nSpiegazione: La frase""}]",Sono degli sfruttatori,Sono subdoli,Fanno quello che vogliono senza contribuire,Sono degli sfruttatori|Sono subdoli|Fanno quello che vogliono senza contribuire,Sono degli sfruttatori,marem
